date_time,city,state_province,country,ufo_shape,length_of_encounter_seconds,described_duration_of_encounter,description,date_documented,latitude,longitude
2014-03-01 23:30:00,arlington,va,us,formation,360,6 minutes,There were four lights in the sky. Imagine a pizza cut into four slices the lights met in the center and then spread out making an X th,2014-03-18,38.8902778,-77.0844444
2014-03-12 00:30:00,gresham,or,us,light,600,10 minutes,Blinking blue and red star disappears.,2014-03-18,45.4983333,-122.4302778
2014-03-12 03:00:00,issaquah,wa,us,unknown,30,30 seconds,Green lights landing.,2014-04-04,47.5302778,-122.0313889
2014-03-12 06:25:00,sonoma,ca,us,unknown,7200,2 hours,Strange light stationary in the sky.,2014-03-18,38.2919444,-122.4569444
2014-03-12 09:00:00,southfield,mi,us,unknown,30,30 seconds,BRIGHT LIGHT IN THE SKY GOES DIM&#33,2014-03-18,42.4733333,-83.2219444
2014-03-12 09:30:00,woodinville,wa,us,unknown,900,15 minutes,Bright dot of light over Woodinville skies.,2014-03-18,47.7544444,-122.1622222
2014-03-12 18:00:00,hackensack,nj,us,fireball,10,10 seconds,Glowing blue light vanishes in seconds.,2014-03-18,40.8858333,-74.0438889
2014-03-12 19:30:00,anaheim,ca,us,sphere,120,2 minutes,Helicopter chasing ball of light.,2014-03-18,33.8352778,-117.9136111
2014-03-12 20:30:00,coral springs,fl,us,oval,600,10 minutes,I couldn&#39t believe i didn&#39t see this on the news&#33,2014-03-18,26.2708333,-80.2708333
2014-03-12 22:00:00,elverta,ca,us,circle,3600,1 hour,5 round lit up objects flying in different directions/coming together.  ((NUFORC Note:  Possibly advertising lights?  PD)),2014-03-18,38.7138889,-121.4616667
2014-03-12 22:20:00,sunrise,fl,us,light,180,3 minutes,Blue and Red light over the Everglades.,2014-03-18,26.1336111,-80.1133333
2014-03-12 23:21:00,arlington,tx,us,light,3,3 seconds,I saw a small blue light move from a star to the left&#44 then it blinked out.,2014-03-18,32.7355556,-97.1077778
2014-03-12 23:30:00,ninilchik,ak,us,circle,600,10 minutes,4 ufo&#39s lights over Cook Inlet.,2014-04-04,60.0513889,-151.6688889
2014-03-13 03:30:00,seattle,wa,us,fireball,10,10 seconds,Blue fireball in night sky.,2014-03-18,47.6063889,-122.3308333
2014-03-13 06:45:00,texas city,tx,us,changing,10800,3 hours,Seen bright light that exceeded several hours from dark to daylight.,2014-03-18,29.3836111,-94.9025
2014-03-13 13:35:00,jupiter,fl,us,triangle,300,5 minutes,Craft spotted in broad day light&#44 disappearing and reappearing three times moving in different directions each time before vanishing.,2014-03-18,26.9338889,-80.0944444
2014-03-13 20:30:00,hollister,ca,us,light,600,10 minutes,Two blue/purple crafts over downtown Hollister&#44 CA.,2014-03-18,36.8525,-121.4005556
2014-03-13 20:55:00,perkasie,pa,us,triangle,600,5-10 minutes,Viewed a triangular craft with only 2 steady white lights and 2 flashing red lights which flew low&#44 slow and almost silent.,2014-03-18,40.3719444,-75.2930556
2014-03-13 21:00:00,bremerton,wa,us,sphere,60,1 minute,Solid Amber colored object moving slow and steady&#44 West to East&#44 silent.,2014-03-18,47.5675,-122.6313889
2014-03-13 22:20:00,henderson,nv,us,light,1800,30 minutes,Lights above mountains south of Henderson.,2014-03-18,36.0397222,-114.9811111
2014-03-13 23:00:00,plano,tx,us,other,15,15 seconds,A v-shaped ufo that was translucent with a green tint traveling slowly.,2014-03-18,33.0197222,-96.6986111
2014-03-14 06:00:00,garden grove,ca,us,diamond,2100,35 minutes,Looks like an a/c with white light brighter and bigger than a star been seeing it for almost a month.  ((NUFORC Note:  Venus.  PD)),2014-03-18,33.7738889,-117.9405556
2014-03-14 21:00:00,gainesville,fl,us,rectangle,120,2 minutes,The object hung suspended in the sky&#44 a huge rectangle&#44 at a diagonal angle.  Dark grey in color with dull green lights at the points.,2014-03-18,29.6513889,-82.325
